Oil Consumption per capita (tonnes per year),1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
South Africa,0.282932232,0.299775958,0.317745966,0.336892025,0.361169388,0.381383135,0.406291125,0.431407675,0.46353623,0.439724287,0.454654693,0.448168281,0.433068194,0.443985086,0.410778373,0.41211003,0.435114589,0.429418201,0.422447206,0.448626059,0.427972937,0.403831583,0.41785361,0.451204753,0.457651448,0.451813938,0.44358159,0.447313265,0.453855904,0.463666896,0.484512975,0.49073235,0.488741784,0.488369568,0.493708932,0.503123521,0.506702233,0.513480214,0.519371469,0.525048961,0.518343239,0.522578799,0.5280535,0.533128297,0.496467413,0.504659453
Spain,0.442529953,0.517860293,0.620678954,0.652787761,0.735731585,0.830557484,0.904358326,0.941738429,1.1198571,1.162240166,1.193443938,1.338316657,1.246726378,1.258563612,1.321262828,1.390920216,1.333721918,1.257364971,1.251402966,1.167948422,1.114456676,1.10720498,1.15654162,1.181513152,1.239337687,1.253202756,1.266495263,1.351623272,1.308969702,1.359433735,1.429128192,1.485089339,1.565365062,1.672067872,1.711435932,1.737520005,1.784334932,1.783838723,1.796844895,1.816901452,1.816412005,1.774528614,1.767247811,1.707494783,1.658701358,1.616859122
Sweden,2.450089559,2.755492997,2.673757344,2.996317599,3.354559856,3.630558811,3.389006631,3.449183609,3.548407416,3.207586554,3.149195326,3.528438545,3.395461384,3.191265217,3.291296366,2.984188494,2.692545232,2.463681869,2.21002916,2.099971608,2.197501626,2.23410018,2.03122372,1.923476931,1.934455648,1.915799463,1.801031459,1.889462851,1.844169296,1.934590038,1.822826891,1.968822327,1.815803009,1.830412362,1.820957207,1.720399185,1.713187148,1.702234068,1.779664507,1.701098189,1.666921244,1.706467935,1.606221949,1.573368127,1.56801928,1.545893802
Switzerland,1.378597248,1.445214196,1.546019663,1.697443844,1.826313901,2.02994785,2.13473092,2.171017554,2.321258721,2.055097623,1.968392751,2.044528004,2.058988052,2.123126129,2.041600767,2.037965233,1.878702183,1.767675493,1.922994891,1.842896502,1.862169123,2.029538424,1.898089615,1.891627547,1.80162211,1.911522448,1.924747749,1.928331118,1.786609311,1.828987644,1.68079511,1.729934005,1.81031391,1.82807466,1.765792224,1.70328637,1.814514926,1.708620636,1.650728239,1.632335679,1.650613277,1.680595312,1.503683319,1.592699867,1.613916738,1.487412187
Taiwan,0.16674372,0.192478042,0.223459594,0.260922504,0.305909536,0.359912317,0.504223086,0.535137265,0.66552879,0.592328109,0.670264235,0.838176292,0.916949657,1.043536699,1.031919771,1.10281264,0.991362711,0.941895033,0.921289156,0.897762406,0.874282464,0.969012068,1.005516753,1.162144573,1.288796516,1.38839639,1.378669822,1.437741819,1.511286364,1.601346892,1.711181071,1.686874872,1.767858404,1.788928964,2.144384451,2.214936528,2.124005955,2.121033362,2.256213769,2.269027451,2.261967314,2.269503248,2.296677545,2.186952271,1.919561243,2.006514658
Thailand,0.072343553,0.082968068,0.089506652,0.114743862,0.120791376,0.136880554,0.148035249,0.181029856,0.186452416,0.185264154,0.194580332,0.200146346,0.219833189,0.241326283,0.238770819,0.24392071,0.227856668,0.202276213,0.222231979,0.226852213,0.210649372,0.212224419,0.234970258,0.261258129,0.302158802,0.344213976,0.369978132,0.404905241,0.456544446,0.503512035,0.572387429,0.60732071,0.600734384,0.535059927,0.534701614,0.502461965,0.479335483,0.511687813,0.536482353,0.591958421,0.60536017,0.583576795,0.56337803,0.538253716,0.726281713,0.726249675
Turkey,0.157704635,0.13969649,0.168179642,0.187451403,0.203421567,0.21765614,0.24698064,0.270333961,0.328099318,0.322666707,0.33959129,0.380549933,0.402383592,0.36274288,0.341226727,0.33624141,0.341613057,0.356898358,0.343634312,0.351153051,0.339395255,0.363181486,0.408244311,0.42583472,0.390276071,0.408791621,0.400952407,0.419391457,0.473139145,0.445543651,0.482173945,0.497308865,0.493310514,0.479846403,0.469816094,0.488025199,0.46256162,0.468002976,0.467188196,0.461532374,0.443053484,0.426709301,0.435654911,0.456012705,0.392505036,0.394489111
Turkmenistan,,,,,,,,,,,,,,,,,,,,,1.486298649,1.057080856,1.031294589,1.005723339,0.979958875,1.199563795,1.325433748,1.344161848,0.749264075,0.728846601,0.646369039,0.697567068,0.705029139,0.770142059,0.807294962,0.789306661,0.809800742,0.834548345,0.906858822,0.896999236,0.92610554,1.095203575,1.109415348,1.117902056,1.084408772,1.11067147
Ukraine,,,,,,,,,,,,,,,,,,,,,1.236521814,1.238064123,1.284589459,1.177714493,1.124583754,1.219868427,1.112934485,0.824978346,0.48111744,0.385383202,0.369705856,0.279674427,0.274120422,0.286702049,0.257261531,0.245439971,0.262135279,0.272524561,0.283796594,0.293454313,0.296263972,0.322406689,0.33163916,0.336450404,0.290932891,0.255234906
United Arab Emirates,,,,0.315164383,0.471913685,0.875928787,0.85862422,0.997311595,1.224057293,1.605185985,2.039156299,2.573711943,3.275910604,3.227994949,3.151781517,5.289167392,5.414992222,5.490194723,5.155210962,4.506610582,5.324684952,6.088377002,6.055583466,7.082668997,6.855710635,7.042853146,8.650589692,8.372991344,8.156180127,8.169799998,7.646881742,7.244593031,6.809209645,5.223740037,4.736216784,4.213956791,4.648445438,4.869893947,4.801586847,4.74297452,4.487204219,4.183602389,3.821264144,3.692346063,4.294681441,4.299964455
United Kingdom,1.365651112,1.453773614,1.551368995,1.637083117,1.755332281,1.861250321,1.868021066,1.975120137,2.018974008,1.873895443,1.636778298,1.623512758,1.634801416,1.670342776,1.679414491,1.435109749,1.325697251,1.341111924,1.284743963,1.587830287,1.370014793,1.366654189,1.324319923,1.405431903,1.432432826,1.448654409,1.438217423,1.452643776,1.456303972,1.433679338,1.412188621,1.443096896,1.394542419,1.378966013,1.352907591,1.334542308,1.327323363,1.315116922,1.325926782,1.364110218,1.378840281,1.359754527,1.30125267,1.284173505,1.206767337,1.188028094
United States,2.752199035,2.854667071,2.924442078,3.089630374,3.21712463,3.316037351,3.403123637,3.638169862,3.801889062,3.604353027,3.495517045,3.718348147,3.877978126,3.942795224,3.813412098,3.455263712,3.215013785,3.011770082,2.980372697,3.028862409,2.986760715,3.077408266,3.10989309,3.207721803,3.170358475,3.086065326,2.99278353,3.028718303,3.026599495,3.073545876,3.032887968,3.105292419,3.110374906,3.129708662,3.182570371,3.177531759,3.138106756,3.110778848,3.131791065,3.22635885,3.205218824,3.150582247,3.117270453,2.900202094,2.707949097,2.738543683
Uzbekistan,,,,,,,,,,,,,,,,,,,,,0.627319814,0.6277758,0.581335978,0.700315589,0.653841347,0.614177318,0.523675762,0.39451049,0.344687764,0.303113038,0.29485993,0.284613499,0.298083651,0.293483429,0.283864293,0.269095292,0.260516736,0.24906006,0.280507748,0.253849085,0.211119305,0.195050464,0.204490422,0.205778806,0.176938545,0.182184525
Venezuela,1.030054089,1.007717228,0.981202801,1.003075204,0.969296451,0.973346449,0.984703999,1.028699455,1.098862913,1.034667654,0.963093102,1.027798051,1.240965029,1.283132234,1.29464678,1.296863924,1.241530726,1.20391844,1.140957345,1.029471529,0.997375462,1.023274492,0.99541748,1.012087006,0.934477907,0.933087876,0.92249344,0.952933267,0.91690552,0.906967558,0.906879171,0.845406033,0.886586711,0.920965194,0.892230175,0.923924722,0.999649707,1.067013868,0.855636608,0.923747005,0.972907265,1.010225915,1.087567702,1.159424517,1.181630533,1.214636773
